Titre,Reviews,Adresse
Nanzen-ji Temple,1948,"86 Nanzenji Fukuchicho, Sakyo-ku, Kyoto 606-8435, Kyoto Prefecture"
Ginkaku-ji Temple,4180,"2 Ginkakuji-cho Sakyo-ku, Kyoto 606-8402, Kyoto Prefecture"
Kodai-ji Temple,1311,"526 Kodaiji Shimo-Kawaramachi, Higashiyama-ku, Kyoto, Kyoto Prefecture"
Nishi Honganji,691,"Horikawa-dori hanayamachi-sagaru, Shimogyo-ku, Kyoto 600-8358, Kyoto Prefecture"
Tofuku-ji Temple,1546,"15-778 Hommachi, Higashiyama-ku, Kyoto 605-0981, Kyoto Prefecture"
Eikando Zenrinji Temple,1447,"48 Eikandocho, Sakyo-ku, Kyoto 606-8445, Kyoto Prefecture"
Sanzen-in Temple,711,"540 Ohara Raikoin-cho, Sakyo-ku, Kyoto 601-1242, Kyoto Prefecture"
Shoren-in Temple (Shoren-in Monzeki),687,"69-1 Awataguchi Sanjobocho, Higashiyama-ku, Kyoto 605-0035, Kyoto Prefecture"
Ninna-ji Temple,1097,"33 Omuro Ouchi, Ukyo-ku, Kyoto 616-8092, Kyoto Prefecture"
Togakushi Shrine Okusha,511,"Togakushi, Nagano 381-4101, Nagano Prefecture"
Zenko-ji Temple,1656,"I-491 Motoyoshicho, Nagano 380-0851, Nagano Prefecture"
Umeda Sky Building,797,"1-1-88 Oyodonaka, Kita-ku, Osaka 531-6023, Osaka Prefecture"
Tempozan Ferris Wheel,1496,"1-1-10 Kaigandori, Minatoku, Osaka 552-0022, Osaka Prefecture"
Osaka Aquarium Kaiyukan,5955,"1-1-10 Kaigandori, Minato-ku, Osaka 552-0022, Osaka Prefecture"
Osaka Castle,6783,"1-1 Osakajo, Chuo-ku, Osaka 540-0002, Osaka Prefecture"
Sumiyoshi Taisha Shrine,713,"2-9-89 Sumiyoshi, Sumiyoshi-ku, Osaka 558-0045, Osaka Prefecture"
Ebisu Bridge,554,"1 Chome-6 Dotombori, Chuo-ku, Osaka 542-0071, Osaka Prefecture"
Hep Five Ferris Wheel,1108,"5-15 Kakudacho, Kita-ku | Hep Five Mall, Osaka, Osaka Prefecture"
Abeno Harukas,1589,"1-1-43 Abenosuji, Abeno-ku, Osaka 545-0052, Osaka Prefecture"
Mt. Inasa,1266,"Inasamachi, Nagasaki 852-8011, Nagasaki Prefecture"
Hashima Island,1065,"Nagasaki, Nagasaki Prefecture"
Glover Garden,1796,"8-1 Minamiyamatemachi, Nagasaki 850-0931, Nagasaki Prefecture"
Nagasaki Peace Park,1212,"Matsuyamamachi, Nagasaki 852-8118, Nagasaki Prefecture"
Tsunoshima Ohashi,693,"Hohokucho Kanda, Shimonoseki 759-5331, Yamaguchi Prefecture"
Sainokawara Park,452,"Sainokawara, Kusatsu-machi, Agatsuma-gun 377-1700, Gunma Prefecture"
Yubatake,1172,"Kusatsu, Kusatsu-machi, Agatsuma-gun 377-1711, Gunma Prefecture"
Engaku-ji Temple,408,"409 Yamanochi, Kamakura 247-0062, Kanagawa Prefecture"
Hokokuji Temple (Takedera Temple),603,"2-7-4 Jomyoji, Kamakura 248-0003, Kanagawa Prefecture"
Tsurugaoka Hachimangu Shrine,1327,"2-1-31 Yukinoshita, Kamakura 248-0005, Kanagawa Prefecture"
Kotoku-in (Great Buddha of Kamakura),2577,"4 Chome-2-28 Hase, Kamakura 248-0016, Kanagawa Prefecture"
Hase-dera Temple,1454,"3-11-2 Hase, Kamakura 248-0016, Kanagawa Prefecture"
Kencho-ji Temple,452,"8 Yamanouchi, Kamakura 247-0062, Kanagawa Prefecture"
Oharai-machi,488,"Uji Nakanokiri-cho/Uji Imazaike-cho, Ise 516-0026, Mie Prefecture"
Okage Yokocho,1279,"52 Uji Nakanokiricho, Ise 516-8558, Mie Prefecture"
Ise Shrine (Ise Jingu),2385,"Ise 516-0023, Mie Prefecture"
Ise Shrine Geku,574,"279 Toyokawacho, Ise 516-0042, Mie Prefecture"
Kitakyushu City Kawachi Fuji Garden Wisterias Blossom,209,"2-2-46 Kawachi, Yawatahigashi-ku, Kitakyushu 805-0045, Fukuoka Prefecture"
Hirosaki Cherry Blossom Festival,124,"1 Shimo Shiroganecho | Hirosaki Park, Hirosaki 036-8356, Aomori Prefecture"
Hirosaki Castle,633,"1 Shimoshiroganecho, Hirosaki 036-8551, Aomori Prefecture"
Hirosaki Park,469,"1 Shimoshiroganecho, Hirosaki 036-8356, Aomori Prefecture"
Inuyama Castle,892,"65-2 Inuyama Kitakoken, Inuyama 484-0082, Aichi Prefecture"
The Museum Meiji-mura,421,"1 Uchiyama | Museum Meiji-mura, Inuyama 484-0000, Aichi Prefecture"
The Little World Museum of Man,270,"90-48 Imai Narisawa, Inuyama 484-0005, Aichi Prefecture"
Shiraito Falls,615,"Yamanouchicho Shiga Kogen Hasuike, Karuizawa-machi, Kitasaku-gun 389-0100, Nagano Prefecture"
Stone Church,427,"Hoshino, Karuizawa-machi, Kitasaku-gun 389-0195, Nagano Prefecture"
Kumoba Pond,477,"Karuizawa, Karuizawa-machi, Kitasaku-gun 389-0102, Nagano Prefecture"
Jigokudani,1186,"Noboribetsu Onsencho, Noboribetsu 059-0551, Hokkaido"
Dazaifu Temman-gu,1716,"4-7-1 Saifu, Dazaifu 818-0017, Fukuoka Prefecture"
Iriomote Island,421,"Taketomi-cho, Yaeyama-gun 907-1432, Okinawa Prefecture"
Nishi Pier,401,"Taketomi-jima, Taketomi-cho, Yaeyama-gun, Okinawa Prefecture"
Senkoji & Senkoji Park,550,"15-1 Higashitsuchidocho, Onomichi 722-0033, Hiroshima Prefecture"
Abashiri Prison Museum,636,"1-1 Yobito, Abashiri 099-2421, Hokkaido"
Nabana no Sato,796,"270 Komae Urushibata, Nagashimacho, Kuwana 511-1144, Mie Prefecture"
Daikanbo,537,"2090-8 Yamada, Aso 869-2313, Kumamoto Prefecture"
Kintaikyo Bridge,991,"1 Iwakuni, Iwakuni 741-0062, Yamaguchi Prefecture"
Otsuka Museum of Art,702,"Naruto-cho, Naruto 772-0053, Tokushima Prefecture"
Uzunomichi,510,"Narutocho, Naruto 772-0053, Tokushima Prefecture"
Higashi Hennazaki Lighthouse,264,"Hennagumi, Gusukubebora, Miyakojima 906-0101, Okinawa Prefecture"
Ikema Ohashi Bridge,559,"Miyakojima 906-0002, Okinawa Prefecture"
East Henna Cape,561,"Gusukubebora, Miyakojima 906-0101, Okinawa Prefecture"
Kurima Bridge,400,"1388 Shimojiyonaha, Miyakojima 906-0305, Okinawa Prefecture"
Irabu Bridge,861,"Hirara, Miyakojima 906-0015, Okinawa Prefecture"
Shiraito Falls,422,"Kamiide, Fujinomiya 418-0103, Shizuoka Prefecture"
Joren Waterfall,406,"892-14 Yugashima, Izu 410-3206, Shizuoka Prefecture"
Byodoin Temple,1367,"116 Uji Renge, Uji 611-0021, Kyoto Prefecture"
